Reference Handle,Token,Item Name,Customer-facing name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (kg),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online sale price,Archived,Sellable,Contains alcohol,Stockable,Skip Detail screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity Wild Octave Organics,New Quantity Wild Octave Organics,Stock Alert Enabled Wild Octave Organics,Stock Alert Count Wild Octave Organics,Modifier Set - 01 Coffee Type,Modifier Set - 02 Milk,Modifier Set - 03 strength,Modifier Set - 04 Sugar / Sweetener,Modifier Set - 05 Half & Half Hot Drink,Modifier Set - 06 Drink Heat,Modifier Set - Add-Ons,Modifier Set - Decaf,Modifier Set - Fruits - custom,Modifier Set - Fruits - Custom (Custom Juice Only),Modifier Set - iced,Modifier Set - Juice instead of milk,Modifier Set - Mushroom Booster Mod,Modifier Set - on side,Modifier Set - Own Cup,Modifier Set - Smoothie milks,Modifier Set - Super Foods & Mush Add-On,Tax - GST (10%),Tax - GST Free (0%)
#black-rice-crackers-115g-ceres-organics-org-regular,R5KDHF4CG7HPAN6CBNFHSS2M,Black Rice Crackers 115g Ceres Organics org,,Regular,,,,"Shelf Labels > Label  Crackers, Shop > Groceries",Shop > Groceries,,,,9415748012030,visible,Physical good,,,,Y,N,N,N,4.20,,N,,N,,N,,,2.31,Little Valley,,14,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#black-salt-premium-200g-,4LZ27URG3DIETWRV626NHES2,Black Salt - Premium - 200g,,,,,,"Shop > Supplements, Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ), Shelf Labels > Label  Mushrooms",Shop > Supplements,,,,8904120909057,visible,Physical good,,,,Y,,,,8.75,,N,,,,,,,5.30,Bioveda,,-1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#black-sapote-,UHMFPNAIINNNB3G3XRKCWT5E,Black Sapote,,,Kilogram 1.000,,,Shop > Fruit & Veg,Shop > Fruit & Veg,,,,,visible,Physical good,0,,,Y,N,N,N,5.00,,N,,N,,N,,,5.33,United Organics,,-3.985,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#black-sea-salt-flakes-180g-,X5E4IIDV2LQJJE6XDUFX2I6M,Black Sea Salt Flakes 180g,,,,,,"Shop > Groceries, Shelf Labels > Label  Baking and Cooking",Shop > Groceries,,,,9329933003119,visible,Physical good,,,,Y,,,,8.35,,N,,,,,,,5.06,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#black-seed-oil-120-caps-hab-shifa-regular,XEIM5HFND4SZKOP7DWTOAZEM,"Black Seed Oil 120 caps, Hab Shifa",,Regular,,,,"Shelf Labels > Label  Supplements Side, Shop > Supplements",Shop > Supplements,,,,9345616000077,visible,Physical good,,,,Y,N,N,N,59.75,,N,,N,,N,,,32.92,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#black-seed-oil-200ml-immortal-health-regular,DN5IBE4MJO4SMQJWABAPVFVL,"Black Seed Oil, 200ml, Immortal Health",,Regular,,,,"Shelf Labels > Label  Cosmetics, Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ)",Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,796548084922,visible,Physical good,,,,Y,N,N,N,56.65,,N,,N,,N,,,34.34,Byron Co-op,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#black-strap-molasses-470g-spiral-,5FLE4CNSQBLZ52IJ54CWSAZB,"Black Strap Molasses 470g, Spiral",,,,,,"Shop > Groceries, Shelf Labels > Label  Baking and Cooking",Shop > Groceries,,,,9312336787557,visible,Physical good,,,,Y,N,N,N,8.00,,N,,N,,N,,,4.84,Spiral Foods,,7,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#black-tahini-carwari-organic-375g-,2O5KFIN7FZPUTPMTNF6GJT6H,Black Tahini Carwari Organic 375g,,,,,,"Shelf Labels > Label  Cooking Oils, Shop > Groceries",Shop > Groceries,,,,705105211695,visible,Physical good,,,,Y,N,N,N,13.70,,N,,N,,N,,,8.32,Little Valley,,3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#black-turtle-beans-450g-brunswick-health-foods-org-,6RCRRHCET2MTZTJMWLAPZ2OG,"Black Turtle Beans 450g, Brunswick Health Foods Org",,,,,,"Shop > Groceries, Shelf Labels > Label  Tins",Shop > Groceries,,,,9329933010483,visible,Physical good,,,,Y,,,,6.05,,N,,,,,,,3.67,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#black-walnut-100-caps-nature-s-sunshine-,QD35S3GL2MWINSPYS2T2VUSK,"Black Walnut 100 Caps, Nature'S Sunshine",,,,,,"Shop > Supplements, Shelf Labels > Label  Supplements Side",Shop > Supplements,,,,099904170643,visible,Physical good,,,,Y,N,N,N,54.10,,N,,N,,N,,,29.82,vitalus,,2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#black-seed-oil-100ml-immortal-health-regular,HXTJXY4522767LWCAAHX3DHR,"Black seed oil, 100ml, immortal health",,Regular,,,,"Shelf Labels > Label  Cosmetics, Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6)",Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),,,,796548084915,visible,Physical good,,,,Y,N,N,N,37.35,,N,,N,,N,,,20.59,Good n Natural,,6,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#blackadder-liquorice-tea-bags-25pk-red-seal-,TP4ZVGWOJ7B3UYUR3EFPDNG3,"Blackadder (Liquorice) Tea Bags 25pk, Red Seal",,,,,,"Shop > Groceries, Shelf Labels > Label  Tea",Shop > Groceries,,,,9415991002680,visible,Physical good,,,,Y,N,N,N,4.75,,N,,N,,N,,,3.50,Horizon Foods,,8,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#blades-for-safety-razor-10pk-,YKNCOMJ5NFJ2QQDCP2ALIC4M,Blades for safety Razor 10pk,,,,,,Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,9358813001150,visible,Physical good,,,,Y,N,N,N,8.20,,N,,N,,N,,,4.52,Unique Health Products,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#bliss-ball-regular,PADB7HKHFOKH77JSJMPG7YVC,Bliss Ball,,Regular,,,,"Cafe > Food, Cafe > Cafe Food, Cafe > Sweet",Cafe > Cafe Food,,,,,visible,Physical good,,,,Y,N,N,N,3.00,,N,,N,,N,,,1.47,Coral Foods,,12,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#bliss-ball-caramel,H4AFVY73WA6K2W7DENAKNXZN,Bliss Ball,,Caramel,,,,"Cafe > Food, Cafe > Cafe Food, Cafe > Sweet",Cafe > Cafe Food,,,,,visible,Physical good,,,,,,,,3.00,,N,,,,N,,,1.47,Coral Foods,,39,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#bliss-ball-vanilla,FWFDLCJCHJDNMCNHLUAIDHFG,Bliss Ball,,Vanilla,,,,"Cafe > Food, Cafe > Cafe Food, Cafe > Sweet",Cafe > Cafe Food,,,,,visible,Physical good,,,,,,,,3.00,,N,,,,N,,,1.47,Coral Foods,,32,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#bliss-ball-vanilla-1-regular,FAN7OAEZKNV6UQ67KTGHAGUC,Bliss Ball Vanilla,,Regular,,,,"Cafe > Food, Cafe > Sweet, Cafe > Cafe Food",Cafe > Cafe Food,,,,,unavailable,Physical good,,,,Y,N,N,N,3.00,,Y,,N,,N,,,1.47,Coral Foods,,22,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#bliss-oil-11ml-springfields-,WX5BOBPKS6YIAQBUE5R2XY2O,"Bliss Oil 11ml, Springfields",,,,,,Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),,,,655754010289,visible,Physical good,,,,Y,N,N,N,20.60,,N,,N,,N,,,11.35,Little Valley,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#blood-moon-lrg,YQZW35VZVV4HZP7KWOWRE2SN,Blood Moon,,LRG,,,"Carrot, orange, beetroot, ginger","Cafe > Cafe Drinks, Cafe > Juices",Cafe > Cafe Drinks,,,,,visible,Prepared food and beverage,,,,Y,N,N,N,16.00,,N,,N,,N,OJ Sizes,LRG,,,,-289,,,,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N
#blossom-herbal-tea-bags-25pk-planet-org-,FJERS5APUOO2MWAG2CQVFV3R,"Blossom Herbal Tea Bags 25pk, Planet Org",,,,,,"Shop > Groceries, Shelf Labels > Label  Chai and Tea and Coffee",Shop > Groceries,,,,9321728004110,visible,Physical good,,,,Y,N,N,N,8.20,,N,,N,,N,,,4.97,Unique Health Products,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#blue-bird-pear-apple-blueberries-with-oats-holle-org-,PLKN7NZHK4RN6ABQRN2D75MW,"Blue Bird - Pear Apple & Blueberries with Oats, Holle Org",,,,,,Shop > Groceries,Shop > Groceries,,,,7640161877290,visible,Physical good,,,,Y,N,N,N,3.90,,N,,N,,N,,,2.30,BioLiving,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#blue-corn-tortillas-12-dona-cholita-,PCPNEOVANYCLERJPW3OTTYX6,Blue Corn Tortillas 12 Dona Cholita,,,,,,Shop > Groceries,Shop > Groceries,,,,683405832416,visible,Physical good,,,,Y,N,N,N,8.60,,N,,N,,N,,,5.75,All Good Foods,,2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#blue-gold-ayurveda-massage-oil-200ml-,ORUUASY4FTYLW7UTTOQAJOC7,Blue Gold Ayurveda Massage Oil 200ml,,,,,,"Shop > Supplements, Shelf Labels > Label  Mushrooms",Shop > Supplements,,,,9337297009197,visible,Physical good,,,,Y,,,,42.05,,N,,,,,,,23.17,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#blue-lily-clarity-mist-regular,WQOQMEUMXBWFT7IJ3UHU4FZJ,Blue Lily Clarity Mist,,Regular,,,,"Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ), Shelf Labels > Label  Cosmetics",Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,,unavailable,Physical good,,,,Y,,,,60.00,,Y,,N,,N,,,33.00,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#blue-lily-clarity-mist-1-regular,YO667VF346OPY3C7QTFPJ76P,Blue Lily Clarity Mist,,Regular,,,,"Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ), Shelf Labels > Label  Cosmetics",Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,,unavailable,Physical good,,,,Y,,,,60.00,,N,,,,,,,33.00,,,3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#blue-lotus-lavender-sml,I3CZFKRDFZLAWGSUS3UUAG6T,Blue Lotus & Lavender,,SML,,,,"Cafe > Cafe Drinks, Cafe > Hot Drinks",Cafe > Cafe Drinks,,,,,unavailable,Prepared food and beverage,,,,Y,N,N,N,7.00,,Y,,N,,N,Hot Drink Sizes,SML,,,,0,,,,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N
#blue-lotus-lavender--lrg-,CEWIJKWS5XO7MQZSYC5PEBNR,Blue Lotus & Lavender,,***LRG***,,,,"Cafe > Cafe Drinks, Cafe > Hot Drinks",Cafe > Cafe Drinks,,,,,unavailable,Prepared food and beverage,,,,,,,,13.00,,Y,,,,N,Hot Drink Sizes,***LRG***,,,,0,,,,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N
#blue-lotus-lavender-jumbo,HTPG2UDCLE43NWJKXHR5TUPW,Blue Lotus & Lavender,,JUMBO,,,,"Cafe > Cafe Drinks, Cafe > Hot Drinks",Cafe > Cafe Drinks,,,,,unavailable,Prepared food and beverage,,,,,,,,15.00,,Y,,,,N,Hot Drink Sizes,JUMBO,,,,0,,,,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N
#blue-lotus-flower-essence-mist-100ml-sacred-flower-,W6X675GW7DA7UPENZX5YND55,"Blue Lotus Flower Essence Mist 100ml, Sacred Flower",,,,,,"Shelf Labels > Label  Candles, Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ)",Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,218550645200,visible,Physical good,,,,Y,N,N,N,31.95,,N,,N,,N,,,17.60,,,-3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#blue-lotus-flowers-20g-mindful-foods-regular,KGZI3HDL66D6535UOHHPXULH,"Blue Lotus Flowers, 20g, Mindful Foods",,Regular,,,,Shop > Supplements,Shop > Supplements,,,,9351857001582,unavailable,Physical good,,,,N,N,N,N,30.90,,N,,N,,N,,,18.72,Byron Co-op,,3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#blue-lotus-tea-20g-blue-lily-regular,O27MVINXHRI4ILO2T4Z26TIU,Blue Lotus Tea 20g Blue Lily,,Regular,,,,"Shelf Labels > Label  Chai and Tea and Coffee, Shop > Supplements",Shop > Supplements,,,,606795168880,visible,Physical good,,,,Y,N,N,N,33.00,,N,,N,,N,,,20.00,Blue Lily Healing Pty Ltd,,4,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#blue-lotus-flower-essence-mist-,J245OUK4YHNVUBRG47Q5IPFU,Blue Lotus flower essence mist,,,,,,Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),,,,,visible,Physical good,,,,Y,N,N,N,variable,,N,,N,,N,,,,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#blueberry-lemon-curd-ice-cream-450ml-knox-aya-regular,PO7HVF65AF3QMT7QXSGJJXN3,"Blueberry & Lemon Curd Ice Cream 450ml, Knox & Aya",,Regular,,10233016,,"Shelf Labels > Label  Ice Cream Freezer, Shop > Fridge & Freezer",Shop > Fridge & Freezer,,,,,unavailable,Physical good,,,,Y,N,N,N,15.60,,N,,N,,N,,,9.56,Knox & Aya,,2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#blueberry-250ml-jiva-kombucha-,EXI63BBJVAVWLSGK7YB2Q3KN,"Blueberry 250ml, Jiva Kombucha",,,,,,"Shop > Groceries, Shop > Drinks Fridge, Shelf Labels > Label  Drinks Fridge",Shop > Groceries,,,,9351775001077,visible,Physical good,,,,Y,,,,6.95,,N,,N,,N,,,3.82,Cartel & Company,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#blueberry-burst-natural-toothpaste-75g-grants-regular,2SNOXHFJCE64XRBNUEGYWXDR,Blueberry Burst Natural Toothpaste 75g Grants,,Regular,,,,"Shelf Labels > Label  House and Teeth, Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ)",Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,9312812002006,visible,Physical good,,,,Y,N,N,N,4.65,,N,,N,,N,,,2.56,Little Valley,,3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#blueberry-cheesecake-vegan-regular,P7ZHA4ISR7YR5HOTI4WY3D6O,Blueberry Cheesecake Vegan,,Regular,,,,"Cafe > Food, Cafe > Cafe Food, Cafe > Sweet",Cafe > Cafe Food,,,,,unavailable,Prepared food and beverage,,,,Y,N,N,N,9.00,,Y,,N,,N,,,5.00,,,10,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#blueberry-organicc-jam-bioitalia-,R4XMSBST6G3P3I6VX7I2HV2Q,"Blueberry Organicc Jam, Bioitalia",,,,,,"Shelf Labels > Label  Cooking Oils, Shop > Groceries",Shop > Groceries,,,,8024046768504,visible,Physical good,,,,Y,N,N,N,17.15,,N,,N,,N,,,9.80,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#blush-dreamtime-5g-jar-perfection-,CGOYTDGQ6X54762N4YKX7ITU,"Blush Dreamtime 5g Jar, Perfection",,,,,,Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,,visible,Physical good,,,,Y,N,N,N,39.20,,N,,N,,N,,,21.60,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#blush-dreamtime-5g-refill-perfection-,G4TKNYTNSHTMEN3MSWDO44GP,"Blush Dreamtime 5g REFILL, Perfection",,,,,,Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,639737303667,visible,Physical good,,,,Y,N,N,N,35.05,,N,,N,,N,,,19.31,,,2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#blush-uluru-4gr-refill-,MHPUV6R6PA6X7IAA4MIRSWNU,Blush Uluru 4gr Refill,,,,,,Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,639737303681,visible,Physical good,,,,Y,N,N,N,39.20,,N,,N,,N,,,21.60,Eco Minerals,,2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#blush-uluru-4gr-jar-,4OSMQQTGJEKT7A2AI624GNZY,Blush Uluru 4gr jar,,,,,,Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,639737303674,visible,Physical good,,,,Y,N,N,N,39.20,,N,,N,,N,,,21.60,Eco Minerals,,2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#bo-200g-real-blueberryt-lactose-free-yoghurt-,XR47NIIZKRHHZY5UF64OXXAX,Bo 200g Real Blueberryt Lactose Free Yoghurt,,,,,,"Shop > Fridge & Freezer, Shelf Labels > Label  Dairy Fridge",Shop > Fridge & Freezer,,,,9332172000146,visible,Physical good,,,,Y,,,,3.50,,N,,,,,,,2.33,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#bo-500g-natural-lactose-free-org-pot-set-yoghurt-1kg-,YCXPWU44C6U2XX2JVHI4UY2F,Bo 500g Natural Lactose Free Org Pot Set Yoghurt 1kg,,,,,,"Shop > Fridge & Freezer, Shelf Labels > Label  Dairy Fridge",Shop > Fridge & Freezer,,,,9332172000993,visible,Physical good,,,,Y,,,,10.40,,N,,,,,,,6.93,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#bob-s-red-mill-biscuit-baking-mix-680g-,2V5K65YGW4DMQK37UKPKPU4Q,Bob's Red Mill Biscuit & Baking Mix 680g,,,,,,"Shop > Groceries, Shelf Labels > Label  Baking and Cooking",Shop > Groceries,,,,,visible,Physical good,,,,Y,,,,16.45,,N,,,,,,,9.97,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#bob-s-red-mill-soughum-flour-567g-,X47SHVVLWZYOW4UJ34LF72DT,Bob's Red Mill Soughum Flour 567g,,,,,,"Shop > Groceries, Shelf Labels > Label  Baking and Cooking",Shop > Groceries,,,,,visible,Physical good,,,,Y,,,,13.90,,N,,,,,,,8.42,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#bob-s-red-mill-teff-flour-567g-,LXUP6F7NIZXMNVWRI3G7UFXB,Bob's Red Mill Teff Flour 567g,,,,,,"Shop > Groceries, Shelf Labels > Label  Baking and Cooking",Shop > Groceries,,,,,visible,Physical good,,,,Y,,,,21.60,,N,,,,,,,13.09,,,3,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
#body-hand-wash-100ml-lemon-myrtle-fragrances-,D2PZUSW4Z7VUSKLANZBI3LY7,"Body & Hand Wash 100ml, Lemon Myrtle Fragrances",,,,,,"Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6), Shelf Labels > Label  Cosmetics",Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),,,,9336696001788,visible,Physical good,,,,Y,N,N,N,15.55,,N,,N,,N,,,8.57,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#body-hand-wash-refill-500ml-lemon-myrtle-fragrances-,BJXTF4XBLZ6LSR366ZDYLUCG,"Body & Hand Wash Refill 500ml, Lemon Myrtle Fragrances",,,,,,"Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ), Shelf Labels > Label  Cosmetics",Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,9336696001764,visible,Physical good,,,,Y,N,N,N,27.30,,N,,N,,N,,,15.04,,,2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#body-art-kit-the-henna-tree-,Q6253HEYMEONJAZS4HSIO6WT,"Body Art Kit, The Henna Tree",,,,,,"Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6), Shelf Labels > Label  Cosmetics",Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),,,,210799436342,visible,Physical good,,,,Y,,,,20.90,,N,,N,,N,,,11.52,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#body-lotion-250ml-lemon-myrtle-fragrances-,B3WOIS3EMFYEZ74SVHGIDTLG,"Body Lotion 250ml, Lemon Myrtle Fragrances",,,,,,Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),,,,9336696000231,visible,Physical good,,,,Y,,,,16.45,,N,,,,,,,9.06,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#body-repair-spray-200ml-amazing-oils-magnesium-,3S3AD7MLELRM4YYP6G7EGLS3,"Body Repair Spray 200ml, Amazing Oils Magnesium",,,,,,"Shop > Supplements, Shelf Labels > Label  Supplements",Shop > Supplements,,,,9354150000436,visible,Physical good,,,,Y,,,,30.95,,N,,,,,,,17.05,Unique Health Products,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#body-wash-500ml-biologika-lemon-myrtle-,3C3ELTSBDQQ3WOOVOVFZQJB4,"Body Wash 500ml, Biologika Lemon Myrtle",,,,,,Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,,visible,Physical good,,,,Y,N,N,N,11.45,,N,,N,,N,,,6.31,,,0,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#body-wash-ylang-orange-350ml-springfields-regular,FQ2DOUTQ7TECVKZHA7YXNNB3,Body Wash Ylang Orange 350ml Springfields,,Regular,,,,"Shelf Labels > Label  House and Teeth, Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6)",Shop > Personal Care (H4RA2MSLAW6URCW7CVYMAJD6),,,,655754018698,unavailable,Physical good,,,,N,N,N,N,22.65,,N,,N,,N,,,12.47,,,4,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#bon-ami-powder-cleanser-natural-home-cleaner-400g-,B4DGTUZ2SEBABZBV24XNYLIR,Bon Ami Powder Cleanser Natural Home Cleaner 400g,,,,,,"Shop > Groceries, Shelf Labels > Label  Home and Cleaning",Shop > Groceries,,,,017500044038,visible,Physical good,,,,Y,N,N,N,8.20,,N,,N,,N,,,4.52,Unique Health Products,,-2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#bone-broth-beef-tallow-320g-regular,XEY4R3EL25IKLSZF4JT7FFZ6,Bone Broth Beef Tallow 320g,,Regular,,,,"Shelf Labels > Label  Food Fridge, Shop > Groceries",Shop > Groceries,,,,9361410000396,unavailable,Physical good,,,,Y,N,N,N,23.10,,N,,N,,N,,,13.99,Soulfresh APAC Pty Ltd,,8,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#bone-broth-mushroom-healing-390g-regular,534NSPNWJXXF5IQG22E7JLJG,Bone Broth Mushroom Healing 390g,,Regular,,,,Shop > Groceries,Shop > Groceries,,,,9361410000082,unavailable,Physical good,,,,Y,N,N,N,35.70,,N,,N,,N,,,23.80,Soulfresh APAC Pty Ltd,,6,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#bone-broth-original-390g-regular,KLOOHSVDFRV7ND32NM7CPMV2,Bone Broth Original 390g,,Regular,,,,Shop > Groceries,Shop > Groceries,,,,9361410000051,unavailable,Physical good,,,,Y,N,N,N,35.70,,N,,N,,N,,,23.80,Soulfresh APAC Pty Ltd,,13,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
#bone-builder-vitamin-d-120-ethical-nutrients-regular,6OKRV37MPAULWYCFAP6C4KFI,Bone Builder Vitamin D 120 Ethical Nutrients,,Regular,,,,"Shelf Labels > Label  Supplements Side, Shop > Supplements",Shop > Supplements,,,,9315771007587,visible,Physical good,,,,Y,N,N,N,71.90,,N,,N,,N,,,39.62,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#bone-builder-w-vitamin-d-60-tabs-regular,YR4VSNEN657PSVRV56UTVLBU,Bone Builder w Vitamin D 60 Tabs,,Regular,,,,"Shelf Labels > Label  Supplements Side, Shop > Supplements",Shop > Supplements,,,,9315771007365,visible,Physical good,,,,Y,N,N,N,41.15,,N,,N,,N,,,22.67,,,1,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#borlotti-beans-400g-ceres-regular,6GDJXKG6IKT6BHNRPJVJEGA7,Borlotti Beans 400g Ceres,,Regular,,9415748004509,,Shop > Groceries,Shop > Groceries,,,,9415748004509,visible,Physical good,,,,Y,N,N,N,3.30,,N,,N,,N,,,2.01,,,20,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
#botanical-cleansing-gel-135ml-springfields-,PM2IDM5JTP4ZJFFFNGQ537I5,"Botanical Cleansing Gel 135ml, Springfields",,,,,,"Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ), Shelf Labels > Label  Cosmetics",Shop > Personal Care (CWMHWQSHJYJ527JYW5CUKALQ),,,,9324495021007,visible,Physical good,,,,Y,N,N,N,30.90,,N,,N,,N,,,17.02,Little Valley,,2,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
